N° Election;Election;Code Commune;Commune;N° Bureau;Bureau;Circonscritpion;Canton;Inscrits;Votants;Nuls;Blancs;Exprimés;Procurations;N° Candidat;Candidat;Nombre de Voix
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;1;Maison des Relations Internationales;2;03;884;404;1;1;402;36;1;M. BENALI Mahfoud;5
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;1;Maison des Relations Internationales;2;03;884;404;1;1;402;36;2;Mme OZIOL Nathalie;186
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;1;Maison des Relations Internationales;2;03;884;404;1;1;402;36;3;Mme ZBAIRI Kadija;0
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;1;Maison des Relations Internationales;2;03;884;404;1;1;402;36;4;M. ROQUE Manuel;1
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;1;Maison des Relations Internationales;2;03;884;404;1;1;402;36;5;M. MICHEL Didier;1
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;1;Maison des Relations Internationales;2;03;884;404;1;1;402;36;6;Mme BELLAREDJ Fatima;57
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;1;Maison des Relations Internationales;2;03;884;404;1;1;402;36;7;Mme RESSIGUIER Muriel;18
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;1;Maison des Relations Internationales;2;03;884;404;1;1;402;36;8;M. DALMAU Flavio;1
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;1;Maison des Relations Internationales;2;03;884;404;1;1;402;36;9;M. OLHASQUE William;0
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;1;Maison des Relations Internationales;2;03;884;404;1;1;402;36;10;Mme BRIOT Valérie;10
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;1;Maison des Relations Internationales;2;03;884;404;1;1;402;36;11;Mme MANGANO Flavia;19
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;1;Maison des Relations Internationales;2;03;884;404;1;1;402;36;12;M. ASSIE Frédéric;0
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;1;Maison des Relations Internationales;2;03;884;404;1;1;402;36;13;Mme BRISSAUD Anne;9
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;1;Maison des Relations Internationales;2;03;884;404;1;1;402;36;14;Mme YAGUE Annie;74
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;1;Maison des Relations Internationales;2;03;884;404;1;1;402;36;15;Mme DEFRETIN Sophie;17
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;1;Maison des Relations Internationales;2;03;884;404;1;1;402;36;16;M. LECHAT Philippe;4
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;2;Espace Martin Luther King;2;05;1121;501;2;6;493;37;1;M. BENALI Mahfoud;12
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;2;Espace Martin Luther King;2;05;1121;501;2;6;493;37;2;Mme OZIOL Nathalie;227
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;2;Espace Martin Luther King;2;05;1121;501;2;6;493;37;3;Mme ZBAIRI Kadija;2
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;2;Espace Martin Luther King;2;05;1121;501;2;6;493;37;4;M. ROQUE Manuel;0
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;2;Espace Martin Luther King;2;05;1121;501;2;6;493;37;5;M. MICHEL Didier;5
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;2;Espace Martin Luther King;2;05;1121;501;2;6;493;37;6;Mme BELLAREDJ Fatima;64
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;2;Espace Martin Luther King;2;05;1121;501;2;6;493;37;7;Mme RESSIGUIER Muriel;20
295;Elections législatives - Scrutin du 12 juin 2022 : premier tour;34172;Montpellier;2;Espace Martin Luther King;2;05;1121;501;2;6;493;37;8;M. DALMAU Flavio;0
